Entity;Gscore;Droit_de_lHomme;Liberte_economique;Inegalite_des_genres;Proportion_denfants_harceles;Corruption;Taux_alphabetisation;HDI;Annees_detudes;Espérance_vie;Budget_militaire_from_GPD;Sous_alimentation;Acces_Internet_pers;Acces_electricite_pers;Pop_urban;Pop_rural
Romania;6,38;0,936675539;7,698155057;0,33899999;41;47;98,757027;0,811;11;76,054;2,037109776;2,5;63,74728218;100;10451921;8834202
Russia;2,94;-1,232211867;6,823958472;0,271;33;28;99,719566;0,816;12;72,584;3,878588303;2,5;76,00813853;100;107723564;36380516
Rwanda;3,35;-0,670644255;7,483949815;0,38299999;57,8;56;71,2435;0,524;4,1;69,024;1,186027809;35,6;21,76763262;37,78243637;2257829;10694380
Saudi Arabia;1,93;-0,995758828;6,516357351;0,257;36,2;49;94,842369;0,853;9,5;75,133;7,979832993;4,8;94,17559961;100;29343564;5470303
Senegal;6,15;0,796011622;6,199727938;0,52100003;38,4;45;55,624851;0,505;3;67,941;1,450063017;9,4;29,64312367;70,4;8057514;8686416
Serbia;6,41; ;6,855902529;0,185;34,7;39;98,002892;0,787;11,1;76,001;2,220247418;4,6;70,33083553;99,8;3899416;3008808
Sierra Leone;4,66;0,540344793;5,744552987;0,64999998;45,3;30;48,4319;0,419;3,5;54,696;0,73496769;26;13,23693043;22,7;3423961;4553024
Singapore;6,38;1,700365887;8,820735091;0,068000004; ;85;96,774628;0,932;11,5;83,62;3,207594557; ;84,45226789;100;5685807;0
Slovakia;7,1;1,812497515;7,308716412;0,18000001;25;50; ;0,855;12,5;77,542;1,755998857;6,1;81,62566752;100;2934665;2524162
Slovenia;7,5;3,157118616;7,044029738;0,052999999;20;60;99,71476;0,896;12,2;81,324;1,05353081;2,5;78,88542636;100;1157547;942579
South Africa;7,24;-1,061342789;6,658054541;0,39399999;37,4;43;94,597939;0,699;10,1;64,131;0,976948136;5,7;56,16739447;85;39946775;19361915
South Sudan;2,15;-2,592480777; ; ; ;13;31,97625;0,388;4,8;57,846;3,362341597; ;7,977428907;6,720535278;2261021;8932708
Spain;8,08;1,191515174;7,551851757;0,081;14;58;98,11451;0,891;9,8;83,565;1,238844477;2,5;84,6022457;100;38264801;9086766
Sri Lanka;6,19;-0,526460575;6,489522916;0,38600001;38;38;92,614166;0,77;10,9;76,978;1,94187122;7,6;34,1133479;100;4101702;17817298
Suriname;6,98;1,194181517;6,381872508;0,44800001;26;43;95,538986;0,72;8,5;71,682; ;8,1;48,94517397;97,88735199;388053;198581
Sweden;9,39;2,83679292;7,431505399;0,048;11;85; ;0,933;12,4;82,797;1,120598539;2,5;93,00626697;100;9108648;1244794
Switzerland;9,03;2,10741004;8,387414206;0,039999999;34;85; ;0,944;13,4;83,779;0,728114189;2,5;89,68614767;100;6383962;2252934
Syria;1,43;-2,558582937;5,034062658;0,55400002;40,9;13;86,303932;0,536;5,1;72,697; ; ;34,25340193;89,32488251;9708489;7792168
Taiwan;7,73;2,702207569;7,883663307; ; ;63; ; ; ;80,456; ; ; ; ; ; 
Tajikistan;1,93;-0,688976106;6,716732564;0,322;7;25;99,781052;0,65;10,4;71,097; ; ;21,96;99,63539124;2623424;6914218
Tanzania;5,41;-0,255901211;6,930080248;0,54400003;28;36;80,359497;0,538;5,8;65,456;1,316926885;25;15,99999943;37,7;21042571;38691642
Thailand;4,63;-1,209087232;6,821824859;0,366;27;36;93,983017;0,755;7,6;77,15;1,339318604;9,3;52,89192934;99,9;35898129;33901849
Timor;7,19;1,086268597;6,561040228; ;54;35;64,066139;0,625;4,5;69,495;1,049478873;30,9;27,49273173;94,71617889;412936;905506
Togo;3,1;0,409906965;5,784202354;0,55599999;47,5;30;66,53759;0,503;4,8;61,042;3,124631677;20,7;12,36022497;52,44109726;3543299;4735438
Trinidad and Tobago;7,16;0,90690385;6,741669083;0,324;15;41;98,969582;0,784;10,9;73,507;0,735762957;5,5;77,32605293;100;744725;654766
Tunisia;6,41;0,101200869;6,276433717;0,289;31;43;81,054192;0,735;7,2;76,699;2,556073214;2,5;55,50015506;100;8221976;3596642
Turkey;4,37;-1,62047259;6,821242893;0,32800001;33,1;41;95,688103;0,791;8;77,691;2,718365933;2,5;64,68461768;100;64186247;20152820
Turkmenistan;1,72;-0,567468907; ; ;46,6;20;99,692932;0,706;9,8;68,191; ;4;21,25099741;99,9;3167338;2863849
Uganda;5,2;-0,351118825;7,43850886;0,52200001;46;26;73,809837;0,516;6,1;63,368;2,050106329; ;23,70653091;41,3;11414209;34326791
Ukraine;5,69;-1,219281904;5,969297672;0,28400001;41;32;99,764107;0,751;11,3;72,065;3,356164643;3,5;58,88947945;100;30721277;13413416
United Arab Emirates;2,76;0,206362335;7,485404568;0,23199999;23;70;92,986366;0,863;10,8;77,972; ;3,1;94,81992254;100;8609395;1281005
United Kingdom;8,53;2,221622899;8,007157126;0,131;25;80; ;0,922;12,9;81,321;1,743458811;2,5;90,42455049;100;56395647;10819646
United States;7,96;0,235332781;8,040992466;0,20299999;26;71; ;0,924;13,4;78,862;3,413106668;2,5;87,27488917;100;272364755;57119368
Uruguay;8,38;2,782269859;7,150333043;0,28400001;19;70;98,442101;0,804;8,7;77,911;2,018775761;2,5;70,3223544;99,9;3317930;155797
Uzbekistan;2,01;-0,588449175; ;0,287;44,1;23;99,995193;0,71;11,5;71,725; ;2,6;48,69999885;100;17258430;16973620
Venezuela;3,16;-1,434521081;2,88085998;0,461;35;18;95,399246;0,761;10,3;72,064; ;31,4;64,31336383;100;25102966;3332977
Vietnam;3,08;-0,373983921;6,416821979;0,33700001;26;33;94,514267;0,694;8,2;75,4; ;6,4;58,14;99,4;36346227;60992356
Yemen;1,95;-2,108345997;6,37069288;0,76700002;41;14;69,961952;0,452;3;66,125; ; ;26,71835477;72,75170135;11306428;18519540
Zimbabwe;3,16;-0,74135666;6,07711626;0,54000002;61;22;86,873482;0,535;8,2;61,49;0,698600973; ;27,05548769;41,08910751;4792105;10070822
